"generation","filename","format_version","saved_at_unix_seconds","saved_at_local","architecture","activations","genome_parameter_count","champion_training_fitness","population_average_fitness","average_useful_progress_speed_u_s","completion_rate","completion_rate_percent","completed","collision","stalled","timeout","training_tracks","validation_track","validation_score","validation_normalized_progress","validation_progress_percent","validation_useful_progress_speed_u_s","validation_elapsed_s","validation_finish_reason","maximum_episode_duration_s","stall_timeout_s","significant_progress_epsilon_u","progress_weight","speed_weight","collision_penalty","completion_bonus","progress_speed_normalization_u_s","training_track_selection"
"10","generation_000010_1787967926.ron","1","1787967926","2026-08-28 22:45:26 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","0.68514925","0.22399122","144.0423","0","0","0","1","1","1","interlagos;red_bull_ring;silverstone","spa","0.3018477","0.045140382","4.5140382","101.01219","6.8833685","Collision","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"20","generation_000020_1787968066.ron","1","1787968066","2026-08-28 22:47:46 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.2167376","0.748573","192.3029","0.33333334","33.333334","1","1","0","1","red_bull_ring;monza;catalunya","suzuka","1.1010848","0.7010848","70.10848","156.56639","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"30","generation_000030_1787968253.ron","1","1787968253","2026-08-28 22:50:53 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.3135525","0.7401978","189.21692","0.33333334","33.333334","1","0","0","2","catalunya;monza;silverstone","spa","0.3698725","0.049872477","4.9872477","128.74698","5.9666896","Collision","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"40","generation_000040_1787968449.ron","1","1787968449","2026-08-28 22:54:09 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.3452641","0.8693168","199.51428","0.33333334","33.333334","1","0","0","2","interlagos;red_bull_ring;monza","monaco","0.9465864","0.54658633","54.658633","164.9874","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"50","generation_000050_1787968659.ron","1","1787968659","2026-08-28 22:57:39 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.3867025","0.96896005","220.89037","0.33333334","33.333334","1","0","0","2","interlagos;monza;red_bull_ring","suzuka","0.6334335","0.31343347","31.343347","187.82002","22.366497","Collision","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"60","generation_000060_1787969190.ron","1","1787969190","2026-08-28 23:06:30 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.3998653","0.9859162","220.85376","0.33333334","33.333334","1","0","0","2","silverstone;catalunya;monza","suzuka","1.2639453","0.86394536","86.394536","192.93645","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"70","generation_000070_1787969416.ron","1","1787969416","2026-08-28 23:10:16 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.1740905","0.92299646","221.60991","0","0","0","0","0","3","interlagos;red_bull_ring;catalunya","suzuka","1.2322397","0.8322397","83.22397","185.85594","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"80","generation_000080_1787969647.ron","1","1787969647","2026-08-28 23:14:07 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.3665003","1.1094848","223.92546","0.33333334","33.333334","1","0","0","2","monza;interlagos;catalunya","monaco","1.0576276","0.6576276","65.76276","198.50528","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"90","generation_000090_1787969880.ron","1","1787969880","2026-08-28 23:18:00 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.2344049","0.9043199","227.42546","0","0","0","0","0","3","silverstone;interlagos;red_bull_ring","monaco","1.0617149","0.6617149","66.17149","199.73903","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
"100","generation_000100_1787970114.ron","1","1787970114","2026-08-28 23:21:54 -03:00","6 -> 8 -> 2","Tanh -> Tanh","74","1.4410936","1.1824741","241.7441","0.33333334","33.333334","1","0","0","2","interlagos;monza;red_bull_ring","suzuka","1.3337004","0.9337004","93.37004","208.51414","60.015923","Timeout","60","2","60","1","0.4","0.08","0.45","120","RandomSubset(3)"
